ID HCME               Pre-event               Last full visibility COR 2              GCS PARAMETER                     FIT
-                     date            time    date            time    carlon  stolon  stolat  tilt    ssprat  h_angle   apex s  CME-mass
-                     yyyymmdd        hhmm    yyyymmdd        hhmm    deg     deg     deg     deg     -       deg       km/s    g
HCME_A__20110915_01   2011-09-14      19:54   2011-09-15      02:54   131     31      -6      29      0.3     12.6      404     5.90E+15
HCME_A__20110922_01   2011-09-21      21:54   2011-09-22      00:54   120     111     4       16      0.53    18.7      1243    1.20E+17
HCME_A__20110922_02   2011-09-22      10:54   2011-09-22      12:54   281     -81     3       -24     0.66    18.7      1200    5.00E+17
HCME_B__20110924_04   2011-09-24      18:54   2011-09-24      21:54   290     -41     32      -12     0.25    21.2      963     3.70E+15
HCME_A__20110925_02   2011-09-25      00:54   2011-09-25      11:54   34      71      -25     23      0.36    6.4       714     3.30E+15
HCME_B__20111002_01   2011-10-01      20:54   2011-10-02      23:34   136     -88     8       21      0.67    38.3      1478    1.00E+17
HCME_B__20111022_01   2011-10-22      10:54   2011-10-22      12:54   59      93      45      -6      0.59    45.8      600     1.10E+16
HCME_A__20111026_01   2011-10-26      07:54   2011-10-26      15:54   306     34      10      15      0.49    10.3      415     9.00E+14
HCME_B__20111031_01   2011-10-31      15:54   2011-10-31      20:54   207     4       31      4       0.32    15.7      495     1.90E+15
HCME_B__20111105_01   2011-11-05      02:54   2011-11-05      10:54   199     56      56      -58     0.43    15.9      288     4.60E+15
HCME_A__20111108_01   2011-11-07      22:54   2011-11-08      02:54   131     23      38      10      0.39    14        693     3.70E+15
HCME_B__20111109_01   2011-11-09      08:54   2011-11-09      13:54   60      -28     19      14      0.88    35.8      438     3.30E+15
HCME_B__20111113_01   2011-11-12      18:54   2011-11-12      23:54   319     -84     8       45      0.73    22.6      679     3.80E+16
HCME_A__20111115_01   2011-11-14      19:54   2011-11-14      23:54   41      24      -34     -4      0.48    9.8       661     4.50E+15
